title,video_url,views,date_published
Advanced SQL Tutorial | Subqueries,https://www.youtube.com/watch?v=m1KcNV-Zhmc,304K views,"03 Feb, 2022"
Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,https://www.youtube.com/watch?v=IZRe0nwkuXc,22K views,"03 Feb, 2022"
Google vs IBM Data Analytics Certificates | Which is Better?,https://www.youtube.com/watch?v=9RRQtNnq3s0,310K views,"03 Feb, 2022"
Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,https://www.youtube.com/watch?v=qewHAdfzLOw,25K views,"03 Feb, 2022"
Laptops for Data Analysts |  Specifications + Recommendations,https://www.youtube.com/watch?v=bHssBHfHWmU,166K views,"03 Feb, 2022"
Best Machine Learning Courses on Coursera,https://www.youtube.com/watch?v=A4OVjWeVb10,49K views,"03 Feb, 2022"
Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,https://www.youtube.com/watch?v=SIseim20_Dc,16K views,"03 Feb, 2022"
Advanced SQL Tutorial | Stored Procedures + Use Cases,https://www.youtube.com/watch?v=NrBJmtD0kEw,327K views,"03 Feb, 2022"
Google Data Analytics Professional Certificate | It's Finally Here!,https://www.youtube.com/watch?v=wnapnTAMj68,355K views,"03 Feb, 2022"
Google Data Analytics Certificate | Coming Out Soon!,https://www.youtube.com/watch?v=duMcYRtQITA,51K views,"03 Feb, 2022"
Reviewing Your Data Analyst Resumes | Part 2,https://www.youtube.com/watch?v=QG1fo7LFesA,21K views,"03 Feb, 2022"
Best Course to Learn Statistics for Data Analysis,https://www.youtube.com/watch?v=pYRG5X7110M,87K views,"03 Feb, 2022"
DataQuest Review | Is it Worth it?,https://www.youtube.com/watch?v=NViKsiGP4TY,22K views,"03 Feb, 2022"
R vs Python | Which is Better for Data Analysis?,https://www.youtube.com/watch?v=1gdKC5O0Pwc,209K views,"03 Feb, 2022"
Advanced SQL Tutorial | String Functions + Use Cases,https://www.youtube.com/watch?v=GQj6_6V_jVA,144K views,"03 Feb, 2022"
Advanced SQL Tutorial | Temp Tables,https://www.youtube.com/watch?v=RF0LE3hYFrI,209K views,"03 Feb, 2021"
IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,https://www.youtube.com/watch?v=eFDbE5Yunj0,108K views,"03 Feb, 2021"
DataCamp Review | Is it Worth it?,https://www.youtube.com/watch?v=D9bNctNnAig,155K views,"03 Feb, 2021"
Best Python Course for Data Analysts,https://www.youtube.com/watch?v=VsztBAEtC7c,48K views,"03 Feb, 2021"
Top 5 Data Analyst Skills,https://www.youtube.com/watch?v=T3KMZoXrVTQ,26K views,"03 Feb, 2021"
Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,https://www.youtube.com/watch?v=tJaDicmRW7s,14K views,"03 Feb, 2021"
Top 5 Data Analyst Interview Mistakes,https://www.youtube.com/watch?v=hfRcaRw_atI,62K views,"03 Feb, 2021"
2020 Year End Review + Upcoming Giveaway Details,https://www.youtube.com/watch?v=aPDOGxrONy0,1.5K views,"03 Feb, 2021"
Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,https://www.youtube.com/watch?v=w25ZjL0OqT4,40K views,"03 Feb, 2021"
Solving Medium Level SQL LeetCode Questions | Part 2/3,https://www.youtube.com/watch?v=EWPeAXrF3zg,10K views,"03 Feb, 2021"
Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,https://www.youtube.com/watch?v=ru0Xdvxd37Q,45K views,"03 Feb, 2021"
Data Engineer vs Data Analyst | Which Is Right For You?,https://www.youtube.com/watch?v=BAVPAYWAoC4,78K views,"03 Feb, 2021"
How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,https://www.youtube.com/watch?v=whgwEwA5SHU,2.6K views,"03 Feb, 2021"
Advanced SQL Tutorial | CTE (Common Table Expression),https://www.youtube.com/watch?v=K1WeoKxLZ5o,278K views,"03 Feb, 2021"
"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",https://www.youtube.com/watch?v=0HRgbb1PcDQ,22K views,"03 Feb, 2021"
Intermediate SQL Tutorial | Partition By,https://www.youtube.com/watch?v=D6XNlTfglW4,221K views,"03 Feb, 2021"
Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,https://www.youtube.com/watch?v=JikLVP9DkPs,24K views,"03 Feb, 2021"
Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,https://www.youtube.com/watch?v=yzqpYs7dIqY,14K views,"03 Feb, 2021"
Top 3 Tips on Using LinkedIn to Land a Job,https://www.youtube.com/watch?v=7uH7_DThtX0,247K views,"03 Feb, 2021"
What is No Code Analytics? | Alex The Analyst Show | Episode 10,https://www.youtube.com/watch?v=GGLF2jLo8J4,3.7K views,"03 Feb, 2021"
Solving LeetCode SQL Interview Questions | Part 1/3,https://www.youtube.com/watch?v=BGBXnNvWdQ4,23K views,"03 Feb, 2021"
What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,https://www.youtube.com/watch?v=PurMLMKNX0I,12K views,"03 Feb, 2021"
Data Analyst Skills Path | What Skills You NEED to Know,https://www.youtube.com/watch?v=pvxNYyJuiqA,75K views,"03 Feb, 2021"
Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,https://www.youtube.com/watch?v=brxnKIy6Cek,13K views,"03 Feb, 2021"
Top 10 Udemy Courses for Data Analysts,https://www.youtube.com/watch?v=ySq0cgkZiX4,147K views,"03 Feb, 2021"
Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,https://www.youtube.com/watch?v=aJ9Q10v8Nrc,177K views,"03 Feb, 2021"
Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,https://www.youtube.com/watch?v=C2ik_qR5GOU,4.5K views,"03 Feb, 2021"
Top 10 Coursera Courses for Data Analysts,https://www.youtube.com/watch?v=mLUzFXPPa4I,103K views,"03 Feb, 2021"
Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,https://www.youtube.com/watch?v=XmFhpoS6Etk,7.1K views,"03 Feb, 2021"
Data Analyst Expectations vs Reality,https://www.youtube.com/watch?v=1xT68oeQTd0,75K views,"03 Feb, 2021"
Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,https://www.youtube.com/watch?v=eTsHJoMmhYQ,7.1K views,"03 Feb, 2021"
Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,https://www.youtube.com/watch?v=8SolrjsGqzE,44K views,"03 Feb, 2021"
Top 5 Reasons You'll Be a Good Data Analyst,https://www.youtube.com/watch?v=SKsjWzzz4mY,14K views,"03 Feb, 2021"
How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,https://www.youtube.com/watch?v=Z2AachB309o,413K views,"03 Feb, 2021"
Top 5 Reasons Data Analytics is a Good Career Choice,https://www.youtube.com/watch?v=_gP-DH0iZLw,44K views,"03 Feb, 2021"
The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,https://www.youtube.com/watch?v=-Inc1be4zSg,19K views,"03 Feb, 2021"
Top 5 Reasons Not to Lie on Your Resume,https://www.youtube.com/watch?v=CsMh7Ykmnw4,11K views,"03 Feb, 2021"
Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,https://www.youtube.com/watch?v=5MZo2RoS8Yo,129K views,"03 Feb, 2021"
Top 5 Reasons Not to Become a Data Analyst,https://www.youtube.com/watch?v=M2ySRYpo9S0,916K views,"03 Feb, 2021"
Data Analyst Bootcamps | Are They Worth It?,https://www.youtube.com/watch?v=ncXgqGePvwI,32K views,"03 Feb, 2021"
What Does a Data Analyst Actually Do?,https://www.youtube.com/watch?v=ywZXpfdqg1o,868K views,"03 Feb, 2021"
Data Analyst Question and Answer | Answering Your YouTube Questions,https://www.youtube.com/watch?v=IqQCBytyATo,4.2K views,"03 Feb, 2021"
Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,https://www.youtube.com/watch?v=MpIi4HtCiVk,53K views,"03 Feb, 2021"
Data Analyst vs Business Analyst | Which Is Right For You?,https://www.youtube.com/watch?v=G4syHs3M82E,735K views,"03 Feb, 2021"
Best Free Online Courses for Data Analysts,https://www.youtube.com/watch?v=appOFpF2pFg,56K views,"03 Feb, 2021"
Best Online Courses for Data Analysts,https://www.youtube.com/watch?v=B2SPC3Wz1R8,179K views,"03 Feb, 2021"
Data Scientist vs Data Analyst | Which Is Right For You?,https://www.youtube.com/watch?v=fUpChfNN5Uo,760K views,"03 Feb, 2021"
Intermediate SQL Tutorial | Aliasing,https://www.youtube.com/watch?v=Dk7he_yEs4U,121K views,"03 Feb, 2021"
