title,video_url,views,video_age,CLEAN_VIEMS,date_published
How Do I Think Like a Software Developer?,https://www.youtube.com/watch?v=0TQ_Y4XWyQM,12K views,1 year ago,12000,
Intro to SignalR in C# Part 2 - Beyond Chat Applications,https://www.youtube.com/watch?v=-JzWg-Kwu7g,22K views,1 year ago,22000,
Six Things I Want Every Developer To Know - Special 100th Episode Edition,https://www.youtube.com/watch?v=GX1Y3X5qAu0,16K views,1 year ago,16000,
"Intro to SignalR in C# Part 1 - using Blazor, WPF, best practices, and more",https://www.youtube.com/watch?v=RaXx_f3bIRU,84K views,1 year ago,84000,
How Do You Gather User Requirements? How Do You Perform UAT?,https://www.youtube.com/watch?v=VCRGqHC-BRo,9.2K views,1 year ago,9200,
"Intro To The .NET CLI - How To Use It, Why We Need It, And More",https://www.youtube.com/watch?v=RQLzp2Z8-BE,65K views,1 year ago,65000,
How Do I Set Goals As A Software Developer?,https://www.youtube.com/watch?v=bkI53Yvat58,10K views,1 year ago,10000,
"Intro to GitHub - Commits, Issues, Pull Requests, Releases, and more",https://www.youtube.com/watch?v=g0NBVOiPFWA,36K views,1 year ago,36000,
How Do I Organize My Common Libraries Into Projects?,https://www.youtube.com/watch?v=tzc5jxfW1YM,11K views,1 year ago,11000,
Tips for Working with Open-Source Projects,https://www.youtube.com/watch?v=kyyz0wQ6Loo,6.8K views,1 year ago,6800,
How Do I Integrate Into A Remote Team?,https://www.youtube.com/watch?v=8e0Y7HTL5lY,6.3K views,1 year ago,6300,
Editorconfig In Visual Studio In 10 Minutes or Less,https://www.youtube.com/watch?v=CQW5b58mPdg,25K views,1 year ago,25000,
C# Challenge Update - How To Make Your Repo Stand Out,https://www.youtube.com/watch?v=Gg1NxxEkDe0,5.8K views,1 year ago,5800,
How Do I Plan Out A Project? Waterfall? Agile?,https://www.youtube.com/watch?v=1obXtHzTdus,11K views,1 year ago,11000,
"Is Azure DevOps Going Away? If So, Where Do We Go?",https://www.youtube.com/watch?v=u8HAtDME__E,21K views,1 year ago,21000,
.NET 6 Startup Changes - Handling Program.cs Without Startup.cs,https://www.youtube.com/watch?v=vdhFw1VSowg,67K views,1 year ago,67000,
Building a Suggestion Site App - Lesson 31,https://www.youtube.com/watch?v=jAktzbu9TVo,10K views,1 year ago,10000,
How Do I Go from Outdated to Employable?,https://www.youtube.com/watch?v=yLFjldE7-Ik,8.1K views,1 year ago,8100,
Building a Suggestion Site App - Lesson 30,https://www.youtube.com/watch?v=BpTaohMm5Go,5K views,1 year ago,5000,
